# DATA DESCRIPTION:
# Citation:	Ehrmann, Werner; Schmiedl, Gerhard; Beuscher, Sarah; Krüger, Stefan (2016): Clay mineralogy on sediment core M40/4_SL71 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.869095, 
# 	Supplement to: Ehrmann, W et al. (2017): Intensity of African Humid Periods Estimated from Saharan Dust Fluxes. PLoS ONE, 12(1), e0170989, https://doi.org/10.1371/journal.pone.0170989
# Abstract:	North Africa experienced dramatic changes in hydrology and vegetation during the late Quaternary driven by insolation-induced shifts of the tropical rain belt and further modulated by millennial-scale droughts and vegetation-climate feedbacks. While most past proxy and modelling studies concentrated on the temporal and spatial dynamics of the last African humid period, little is known about the intensities and characteristics of pre-Holocene humid periods. Here we present a high-resolution record of fine-grained eastern Saharan dust from the Eastern Mediterranean Sea spanning the last 180 kyr, which is based on the clay mineral composition of the marine sediments, especially the kaolinite/chlorite ratio. Minimum aeolian kaolinite transport occurred during the African Humid Periods because kaolinite deflation was hampered by increased humidity and vegetation cover. Instead, kaolinite weathering from kaolinite-bearing Cenozoic rocks was stored in lake basins, river beds and soils during these periods. During the subsequent dry phases, fine-grained dust was mobilised from the desiccated lakes, rivers and soils resulting in maximum aeolian uptake and transport of kaolinite. The kaolinite transport decreased again when these sediment sources exhausted. We conclude that the amount of clay-sized dust blown out of the Sahara into the Eastern Mediterranean Sea is proportional to the intensity of the kaolinite weathering and accumulation in soils and lake sediments, and thus to the strength of the preceding humid period. These humid periods provided the windows for the migration of modern humans out of Africa, as postulated previously. The strongest humid period occurred during the Eemian and was followed by two weaker phases centred at ca. 100 ka and ca. 80 ka.
# Related to:	Ehrmann, Werner; Schmiedl, Gerhard; Beuscher, Sarah; Krüger, Stefan (2017): Table 1. Data used for constructing the age model for the investigated sediment core M40/4_SL71 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871370
# Coverage:	LATITUDE: 34.811160 * LONGITUDE: 23.194160
# 	DATE/TIME START: 1998-01-25T07:12:00 * DATE/TIME END: 1998-01-25T07:12:00
# 	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 4.2175 m
# Event(s):	M40/4_SL71 (GeoTü SL71) * LATITUDE: 34.811160 * LONGITUDE: 23.194160 * DATE/TIME: 1998-01-25T07:12:00 * ELEVATION: -2788.0 m * CAMPAIGN: M40/4 (URI: https://doi.org/10.2312/cr_m40) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
# Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm)
# 	AGE [ka BP] (Age) * GEOCODE * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm)
# 	Kaolinite/Chlorite ratio (Kln/Chl) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: Calculated
# 	Palygorskite [%] (Plg) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: X-ray diffraction TEXTUR, clay fraction
# 	Kaolinite [%] (Kln) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: X-ray diffraction TEXTUR, clay fraction
# 	Kaolinite/standard ratio (Kln/std) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: Calculated
# License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
# Size:	2562 data points

Depth sed [m]	Age [ka BP]	Kln/Chl	Plg [%]	Kln [%]	Kln/std
0.0025	0.021	1.80	8.8	24.2	
0.0075	0.063	1.80	7.7	24.7	
0.0125	0.105	1.84	7.7	24.3	
0.0175	0.147	2.00	9.9	26.0	
0.0225	0.189	2.03	10.9	25.1	
0.0275	0.402	2.05	9.3	25.1	
0.0325	0.785	2.07	9.9	25.8	
0.0375	1.168	2.08	8.5	25.1	
0.0425	1.552	2.08	8.1	25.5	
0.0475	1.935	2.15	9.5	25.3	
0.0525	2.225	2.15	10.8	27.2	
0.0575	2.515	2.19	8.8	26.0	0.83
0.0625	2.805	2.20	10.2	26.5	
0.0675	3.095	2.18	9.7	25.6	0.85
0.0725	3.385	2.04	11.7	26.1	
0.0775	3.675	1.94	9.2	24.4	
0.0825	3.965	1.85	9.9	23.9	
0.0875	4.255	1.93	9.8	24.8	
0.0925	4.545	1.86	10.3	24.4	
0.0975	4.835	1.79	10.4	23.9	
0.1025	5.125	1.62	9.1	23.2	
0.1075	5.415	1.59	10.3	23.1	
0.1125	5.705	1.52	9.7	21.4	
0.1175	5.995	1.54	9.3	21.6	
0.1225	6.285	1.45	11.1	20.9	
0.1275	6.575	1.33	10.4	19.2	
0.1325	6.865	1.22	7.0	17.4	
0.1375	7.135	1.12	6.8	15.8	
0.1425	7.405	0.94	5.5	14.7	
0.1475	7.675	0.92	5.3	14.9	
0.1525	7.954	0.88	5.6	13.6	
0.1575	8.241	0.91	6.3	15.3	
0.1625	8.528	0.93	6.8	15.2	
0.1675	8.815	0.94	6.7	14.2	
0.1725	9.102	1.02	7.9	15.6	
0.1775	9.389	1.01	8.1	16.2	
0.1825	9.676	1.00	7.4	15.7	
0.1875	9.964	0.96	6.1	14.7	
0.1925	10.251	1.07	7.7	15.0	
0.1975	10.538	1.31	6.2	18.2	
0.2025	10.825	1.43	5.4	19.8	
0.2075	11.063	1.40	7.9	18.5	
0.2125	11.301	1.38	8.5	20.4	
0.2175	11.539	1.50	6.8	20.3	
0.2225	11.778	1.46	8.7	20.2	
0.2275	12.016	1.51	8.2	19.6	
0.2325	12.254	1.43	8.0	20.5	
0.2375	12.492	1.42	8.7	19.4	
0.2425	12.730	1.46	8.0	21.5	
0.2475	12.968	1.48	7.7	21.3	
0.2525	13.206	1.34	7.9	20.5	
0.2575	13.444	1.29	7.6	19.0	
0.2625	13.683	1.25	6.3	19.2	
0.2675	13.921	1.25	6.4	18.9	
0.2725	14.159	1.21	7.2	17.9	
0.2775	14.397	1.19	7.0	17.5	
0.2825	14.635	1.16	6.6	18.4	
0.2875	14.873	1.17	6.7	17.6	
0.2925	15.111	1.16	7.8	17.2	
0.2975	15.350	1.16	8.5	18.0	
0.3025	15.588	1.17	8.6	17.3	
0.3075	15.826	1.21	9.2	18.4	
0.3125	16.064	1.19	10.3	19.1	
0.3175	16.302	1.26	7.3	19.2	
0.3225	16.540	1.33	10.1	20.0	
0.3275	16.778	1.32	7.3	20.1	
0.3325	17.017	1.31	9.4	20.8	
0.3375	17.255	1.37	8.3	20.1	
0.3425	17.493	1.42	10.9	19.6	
0.3475	17.731	1.40	10.3	20.8	
0.3525	18.038	1.35	9.2	19.7	0.62
0.3575	18.414	1.35	9.8	20.0	
0.3625	18.790	1.48	9.2	20.1	
0.3675	19.031	1.19	10.5	18.5	
0.3725	19.272	1.17	8.5	17.5	
0.3775	19.513	1.17	7.7	18.7	
0.3825	19.754	1.27	8.6	19.0	
0.3875	19.995	1.13	9.4	18.4	
0.3925	20.236	1.20	8.4	19.1	
0.3975	20.478	1.22	7.6	19.2	
0.4025	20.719	1.26	8.8	18.7	
0.4075	20.960	1.23	7.8	19.3	
0.4125	21.201	1.21	9.5	18.7	0.59
0.4175	21.442	1.24	7.5	18.9	
0.4225	21.683	1.26	8.3	18.3	
0.4275	21.924	1.22	8.4	19.1	
0.4325	22.165	1.25	7.8	19.4	
0.4375	22.406	1.30	8.3	18.8	
0.4425	22.647	1.27	9.9	18.5	
0.4475	22.888	1.20	9.2	18.5	
0.4525	23.129	1.20	7.8	18.6	
0.4575	23.370	1.21	8.3	18.5	0.54
0.4625	23.611	1.21	8.1	18.8	
0.4675	23.853	1.24	8.4	19.1	
0.4725	24.094	1.24	7.4	19.1	
0.4775	24.335	1.26	6.7	20.0	
0.4825	24.576	1.38	8.6	21.1	
0.4875	24.817	1.50	9.3	21.4	
0.4925	25.058	1.49	8.8	22.2	0.56
0.4975	25.299	1.37	9.2	20.5	
0.5025	25.540	1.32	8.8	20.5	
0.5075	25.744	1.30	8.5	20.1	
0.5125	25.947	1.27	7.7	20.2	
0.5175	26.151	1.23	8.7	19.7	
0.5225	26.354	1.24	7.6	20.3	
0.5275	26.558	1.23	6.9	19.9	0.50
0.5325	26.761	1.26	7.4	19.8	
0.5375	26.965	1.23	8.9	20.0	
0.5425	27.168	1.32	7.1	19.7	
0.5475	27.372	1.35	7.7	20.1	
0.5525	27.576	1.33	6.6	20.4	
0.5575	27.779	1.33	6.9	20.2	
0.5625	27.983	1.32	7.5	20.5	
0.5675	28.186	1.32	7.7	19.9	
0.5725	28.390	1.35	6.7	20.4	
0.5775	28.593	1.32	7.0	19.9	
0.5825	28.797	1.32	8.2	19.6	
0.5875	29.000	1.40	7.5	21.1	
0.5925	29.204	1.54	8.2	21.8	
0.5975	29.408	1.45	7.1	21.5	
0.6025	29.611	1.48	7.8	21.1	
0.6075	29.815	1.40	7.6	20.5	
0.6125	30.018	1.32	7.7	20.2	
0.6175	30.222	1.25	8.4	19.5	
0.6225	30.425	1.31	7.4	19.4	
0.6275	30.629	1.29	8.9	19.4	
0.6325	30.832	1.28	8.5	18.8	
0.6375	31.036	1.29	9.4	18.7	
0.6425	31.240	1.29	8.0	19.6	
0.6475	31.443	1.30	8.6	19.5	
0.6525	31.647	1.27	7.7	19.0	
0.6575	31.850	1.32	8.8	19.6	
0.6625	32.054	1.32	8.0	18.8	
0.6675	32.257	1.31	7.7	20.5	
0.6725	32.461	1.28	7.8	19.6	
0.6775	32.664	1.31	7.6	19.3	
0.6825	32.868	1.24	8.2	18.9	
0.6875	33.072	1.27	7.7	19.1	
0.6925	33.275	1.25	6.8	19.1	0.57
0.6975	33.479	1.27	8.6	18.4	
0.7025	33.682	1.27	4.6	20.1	
0.7075	33.886	1.29	8.0	19.2	
0.7125	34.089	1.31	7.7	19.2	
0.7175	34.293	1.30	7.3	19.8	
0.7225	34.496	1.28	7.4	19.1	
0.7275	34.700	1.35	8.4	18.9	
0.7325	34.904	1.33	7.1	18.8	
0.7375	35.107	1.46	9.7	20.0	
0.7425	35.311	1.44	11.1	19.6	
0.7475	35.514	1.42	6.3	20.5	
0.7525	35.718	1.25	6.3	19.3	
0.7575	35.921	1.14	8.0	16.5	
0.7625	36.125	1.18	7.8	18.1	
0.7675	36.328	1.24	6.6	18.1	
0.7725	36.532	1.20	7.4	19.1	
0.7775	36.736	1.24	7.4	18.9	
0.7825	36.939	1.26	7.5	20.1	
0.7875	37.143	1.22	7.0	18.5	
0.7925	37.346	1.21	7.1	18.7	0.63
0.7975	37.550	1.26	7.8	18.8	
0.8025	37.753	1.26	8.6	18.6	
0.8075	37.957	1.21	5.3	19.3	
0.8125	38.160	1.25	10.2	17.8	
0.8175	38.364	1.25	7.4	17.6	
0.8225	38.568	1.23	8.7	19.9	
0.8275	38.771	1.30	9.8	18.8	
0.8325	38.975	1.36	10.4	19.6	
0.8375	39.178	1.33	8.9	19.6	
0.8425	39.280	1.27	10.4	18.3	
0.8475	39.280	1.24	13.8	17.4	
0.8525	39.280	1.15	10.5	16.8	
0.8575	39.280	1.18	15.7	15.7	
0.8625	39.280	1.01	13.0	14.1	
0.8675	39.280	0.88	13.1	11.8	
0.8725	39.280	0.36	12.5	4.8	
0.8775	39.280	0.21	14.8	2.8	
0.8825	39.508	0.40	5.6	7.4	
0.8875	39.963	1.45	8.9	19.3	
0.8925	40.419	1.41	5.7	18.8	
0.8975	40.874	1.32	7.7	17.1	
0.9025	41.329	1.31	5.7	17.7	
0.9075	41.785	1.33	7.4	18.2	
0.9125	42.240	1.29	6.6	18.9	
0.9175	42.696	1.30	8.5	18.6	
0.9225	43.151	1.42	11.3	18.8	
0.9275	43.606	1.47	8.3	20.0	
0.9325	44.062	1.46	12.0	20.0	
0.9375	44.517	1.42	8.8	19.1	
0.9425	44.973	1.42	8.6	19.9	
0.9475	45.428	1.43	6.5	20.9	
0.9525	45.884	1.45	6.8	20.5	
0.9575	46.339	1.47	5.0	20.6	
0.9625	46.794	1.36	6.3	19.7	
0.9675	47.250	1.37	6.7	20.3	
0.9725	47.705	1.39	5.7	20.9	
0.9775	48.161	1.49	10.1	22.0	
0.9825	48.616	1.47	7.0	20.5	
0.9875	49.071	1.35	5.9	20.3	
0.9925	49.527	1.33	6.5	20.9	
0.9975	49.982	1.42	6.5	19.9	
1.0025	50.263	1.43	7.2	20.4	
1.0075	50.369	1.44	9.1	22.2	
1.0125	50.475	1.45	9.5	20.9	
1.0175	50.582	1.44	9.2	21.7	
1.0225	50.688	1.49	6.9	21.0	
1.0275	50.794	1.44	7.3	21.4	
1.0325	50.900	1.44	7.0	21.2	
1.0375	51.006	1.61	7.6	23.1	
1.0425	51.113	1.83	9.1	24.9	
1.0475	51.219	1.86	9.5	24.4	
1.0525	51.325	1.67	9.7	23.3	
